DIV,BC,N_CELLS,TEMPLATE,CASE,USER,M_TIME,TIME,DELTA_X,L_INF_E_PSI,E_VOL_ALPHA,E_VOL_ALPHA_REL,E_GEOM_ALPHA,E_GEOM_ALPHA_REL,E_BOUND_ALPHA,ELAPSED_CPU_TIME,MAX_CFL,MAX_ABS_SUM_VOL_FLUXES,O(E_VOL_ALPHA),O(E_VOL_ALPHA_REL),O(E_GEOM_ALPHA),O(E_GEOM_ALPHA_REL),O(E_BOUND_ALPHA),O_LOCAL(E_VOL_ALPHA),O_LOCAL(E_VOL_ALPHA_REL),O_LOCAL(E_GEOM_ALPHA),O_LOCAL(E_GEOM_ALPHA_REL),O_LOCAL(E_BOUND_ALPHA)
linear,explicitGradient,32,3Dtranslation,3Dtranslation_hex_BC-div-source-h_00002_3Dtranslation,julian,2022-12-20_064124,0.171875,0.03125,0.823302508504,4.90791179468e-05,0.00356777039337,0.0209777535859,1.52496237288,0,4.12,0.25,0.001953125,4.888979645937209,4.918783312154078,-0.01645841522608743,0.013345250997870555,,4.888979645937209,4.918783312154078,-0.01645841522608743,0.013345250997870555,
linear,explicitGradient,32,3Dtranslation,3Dtranslation_hex_BC-div-source-h_00002_3Dtranslation,julian,2022-12-20_064124,0.1796875,0.03125,0.814303286479,4.73124767601e-05,0.00343934571124,0.0217408863209,1.58043774595,0,4.26,0.25,0.001953125,4.888979645937209,4.918783312154078,-0.01645841522608743,0.013345250997870555,,4.888979645937209,4.918783312154078,-0.01645841522608743,0.013345250997870555,
linear,explicitGradient,32,3Dtranslation,3Dtranslation_hex_BC-div-source-h_00002_3Dtranslation,julian,2022-12-20_064124,0.1875,0.03125,0.805676893939,5.3649753414e-05,0.00390002937807,0.0224434869068,1.63151277895,0,4.4,0.25,0.001953125,4.888979645937209,4.918783312154078,-0.01645841522608743,0.013345250997870555,,4.888979645937209,4.918783312154078,-0.01645841522608743,0.013345250997870555,
linear,explicitGradient,32,3Dtranslation,3Dtranslation_hex_BC-div-source-h_00002_3Dtranslation,julian,2022-12-20_064124,0.1953125,0.03125,0.797932584899,4.97030934707e-05,0.00361312983529,0.0230800827497,1.67778964569,0,4.87,0.25,0.001953125,4.888979645937209,4.918783312154078,-0.01645841522608743,0.013345250997870555,,4.888979645937209,4.918783312154078,-0.01645841522608743,0.013345250997870555,
linear,explicitGradient,32,3Dtranslation,3Dtranslation_hex_BC-div-source-h_00002_3Dtranslation,julian,2022-12-20_064124,0.203125,0.03125,0.79376440837,4.19318226216e-05,0.00304820301481,0.0236543194391,1.71953335961,0,5.0,0.25,0.001953125,4.888979645937209,4.918783312154078,-0.01645841522608743,0.013345250997870555,,4.888979645937209,4.918783312154078,-0.01645841522608743,0.013345250997870555,
linear,explicitGradient,32,3Dtranslation,3Dtranslation_hex_BC-div-source-h_00002_3Dtranslation,julian,2022-12-20_064124,0.2109375,0.03125,0.784233703703,3.74875200367e-05,0.0027251277061,0.0241302529466,1.75413099601,0,5.17,0.25,0.001953125,4.888979645937209,4.918783312154078,-0.01645841522608743,0.013345250997870555,,4.888979645937209,4.918783312154078,-0.01645841522608743,0.013345250997870555,
linear,explicitGradient,32,3Dtranslation,3Dtranslation_hex_BC-div-source-h_00002_3Dtranslation,julian,2022-12-20_064124,0.21875,0.03125,0.775035270443,4.37033482849e-05,0.00317698277037,0.0245109748447,1.78180729446,0,5.32,0.25,0.001953125,4.888979645937209,4.918783312154078,-0.01645841522608743,0.013345250997870555,,4.888979645937209,4.918783312154078,-0.01645841522608743,0.013345250997870555,
linear,explicitGradient,32,3Dtranslation,3Dtranslation_hex_BC-div-source-h_00002_3Dtranslation,julian,2022-12-20_064124,0.2265625,0.03125,0.767969562712,3.89249472005e-05,0.00282962041689,0.0250227792921,1.81901254246,0,5.47,0.25,0.001953125,4.888979645937209,4.918783312154078,-0.01645841522608743,0.013345250997870555,,4.888979645937209,4.918783312154078,-0.01645841522608743,0.013345250997870555,
linear,explicitGradient,32,3Dtranslation,3Dtranslation_hex_BC-div-source-h_00002_3Dtranslation,julian,2022-12-20_064124,0.234375,0.03125,0.764513198313,3.22826241455e-05,0.00234676162623,0.0255993007672,1.8609223472,0,5.63,0.25,0.001953125,4.888979645937209,4.918783312154078,-0.01645841522608743,0.013345250997870555,,4.888979645937209,4.918783312154078,-0.01645841522608743,0.013345250997870555,
linear,explicitGradient,32,3Dtranslation,3Dtranslation_hex_BC-div-source-h_00002_3Dtranslation,julian,2022-12-20_064124,0.2421875,0.03125,0.754594894933,2.24395664018e-05,0.00163122778073,0.0260851024918,1.89623734639,0,5.83,0.25,0.001953125,4.888979645937209,4.918783312154078,-0.01645841522608743,0.013345250997870555,,4.888979645937209,4.918783312154078,-0.01645841522608743,0.013345250997870555,
